abstention_reason,ambiguous_target_candidates,benefit_sign_accuracy,fold_id,gpu_hours,negative_selection,ranking_kendall_tau,seed,selected_primitive,selected_target_positive,selection_regret,selector,state,supported_candidate_count,target_environment,top1_positive_hit,trial_id,trials_to_first_positive,unsupported_target_candidates
,[],0.5,holdout_stack_cube,0.0,1.0,-1.0,101,self_forcing_finetune,False,0.0,static_probe,evaluated,2,stack_cube,0.0,holdout_stack_cube__static_probe__s101,,[]
,[],0.5,holdout_stack_cube,0.0,1.0,-1.0,202,self_forcing_finetune,False,0.0,static_probe,evaluated,2,stack_cube,0.0,holdout_stack_cube__static_probe__s202,,[]
,[],0.5,holdout_stack_cube,0.0,1.0,-1.0,303,self_forcing_finetune,False,0.0,static_probe,evaluated,2,stack_cube,0.0,holdout_stack_cube__static_probe__s303,,[]
,[],0.5,holdout_stack_cube,0.0,1.0,-1.0,101,self_forcing_finetune,False,0.0,raw_response,evaluated,2,stack_cube,0.0,holdout_stack_cube__raw_response__s101,,[]
,[],0.5,holdout_stack_cube,0.0,1.0,-1.0,202,self_forcing_finetune,False,0.0,raw_response,evaluated,2,stack_cube,0.0,holdout_stack_cube__raw_response__s202,,[]
,[],0.5,holdout_stack_cube,0.0,1.0,-1.0,303,self_forcing_finetune,False,0.0,raw_response,evaluated,2,stack_cube,0.0,holdout_stack_cube__raw_response__s303,,[]
,[],0.5,holdout_stack_cube,0.0,1.0,-1.0,101,self_forcing_finetune,False,0.0,irg,evaluated,2,stack_cube,0.0,holdout_stack_cube__irg__s101,,[]
,[],0.5,holdout_stack_cube,0.0,1.0,-1.0,202,self_forcing_finetune,False,0.0,irg,evaluated,2,stack_cube,0.0,holdout_stack_cube__irg__s202,,[]
,[],0.5,holdout_stack_cube,0.0,1.0,-1.0,303,self_forcing_finetune,False,0.0,irg,evaluated,2,stack_cube,0.0,holdout_stack_cube__irg__s303,,[]
,[],0.5,holdout_push_rope,0.0,0.0,1.0,101,self_forcing_finetune,True,0.0,environment_label,evaluated,2,push_rope,1.0,holdout_push_rope__environment_label__s101,1,[]
,[],0.5,holdout_push_rope,0.0,0.0,1.0,202,self_forcing_finetune,True,0.0,environment_label,evaluated,2,push_rope,1.0,holdout_push_rope__environment_label__s202,1,[]
,[],0.5,holdout_push_rope,0.0,0.0,1.0,303,self_forcing_finetune,True,0.0,environment_label,evaluated,2,push_rope,1.0,holdout_push_rope__environment_label__s303,1,[]
,[],0.5,holdout_push_rope,0.0,0.0,1.0,101,self_forcing_finetune,True,0.0,static_probe,evaluated,2,push_rope,1.0,holdout_push_rope__static_probe__s101,1,[]
,[],0.5,holdout_push_rope,0.0,0.0,1.0,202,self_forcing_finetune,True,0.0,static_probe,evaluated,2,push_rope,1.0,holdout_push_rope__static_probe__s202,1,[]
,[],0.5,holdout_push_rope,0.0,0.0,1.0,303,self_forcing_finetune,True,0.0,static_probe,evaluated,2,push_rope,1.0,holdout_push_rope__static_probe__s303,1,[]
,[],0.5,holdout_push_rope,0.0,0.0,1.0,101,self_forcing_finetune,True,0.0,raw_response,evaluated,2,push_rope,1.0,holdout_push_rope__raw_response__s101,1,[]
,[],0.5,holdout_push_rope,0.0,0.0,1.0,202,self_forcing_finetune,True,0.0,raw_response,evaluated,2,push_rope,1.0,holdout_push_rope__raw_response__s202,1,[]
,[],0.5,holdout_push_rope,0.0,0.0,1.0,303,self_forcing_finetune,True,0.0,raw_response,evaluated,2,push_rope,1.0,holdout_push_rope__raw_response__s303,1,[]
,[],0.5,holdout_push_rope,0.0,0.0,1.0,101,self_forcing_finetune,True,0.0,irg,evaluated,2,push_rope,1.0,holdout_push_rope__irg__s101,1,[]
,[],0.5,holdout_push_rope,0.0,0.0,1.0,202,self_forcing_finetune,True,0.0,irg,evaluated,2,push_rope,1.0,holdout_push_rope__irg__s202,1,[]
,[],0.5,holdout_push_rope,0.0,0.0,1.0,303,self_forcing_finetune,True,0.0,irg,evaluated,2,push_rope,1.0,holdout_push_rope__irg__s303,1,[]
,['next_forcing'],0.3333333333333333,holdout_cloth_move,0.0,0.0,0.3333333333333333,101,self_forcing_finetune,True,0.0,environment_label,evaluated,3,cloth_move,1.0,holdout_cloth_move__environment_label__s101,1,[]
,['next_forcing'],0.3333333333333333,holdout_cloth_move,0.0,0.0,0.3333333333333333,202,self_forcing_finetune,True,0.0,environment_label,evaluated,3,cloth_move,1.0,holdout_cloth_move__environment_label__s202,1,[]
,['next_forcing'],0.3333333333333333,holdout_cloth_move,0.0,0.0,0.3333333333333333,303,self_forcing_finetune,True,0.0,environment_label,evaluated,3,cloth_move,1.0,holdout_cloth_move__environment_label__s303,1,[]
,['next_forcing'],0.3333333333333333,holdout_cloth_move,0.0,0.0,0.3333333333333333,101,self_forcing_finetune,True,0.0,static_probe,evaluated,3,cloth_move,1.0,holdout_cloth_move__static_probe__s101,1,[]
,['next_forcing'],0.3333333333333333,holdout_cloth_move,0.0,0.0,0.3333333333333333,202,self_forcing_finetune,True,0.0,static_probe,evaluated,3,cloth_move,1.0,holdout_cloth_move__static_probe__s202,1,[]
,['next_forcing'],0.3333333333333333,holdout_cloth_move,0.0,0.0,0.3333333333333333,303,self_forcing_finetune,True,0.0,static_probe,evaluated,3,cloth_move,1.0,holdout_cloth_move__static_probe__s303,1,[]
,['next_forcing'],0.3333333333333333,holdout_cloth_move,0.0,0.0,0.3333333333333333,101,self_forcing_finetune,True,0.0,raw_response,evaluated,3,cloth_move,1.0,holdout_cloth_move__raw_response__s101,1,[]
,['next_forcing'],0.3333333333333333,holdout_cloth_move,0.0,0.0,0.3333333333333333,202,self_forcing_finetune,True,0.0,raw_response,evaluated,3,cloth_move,1.0,holdout_cloth_move__raw_response__s202,1,[]
,['next_forcing'],0.3333333333333333,holdout_cloth_move,0.0,0.0,0.3333333333333333,303,self_forcing_finetune,True,0.0,raw_response,evaluated,3,cloth_move,1.0,holdout_cloth_move__raw_response__s303,1,[]
,['next_forcing'],0.3333333333333333,holdout_cloth_move,0.0,0.0,0.3333333333333333,101,self_forcing_finetune,True,0.0,irg,evaluated,3,cloth_move,1.0,holdout_cloth_move__irg__s101,1,[]
,['next_forcing'],0.3333333333333333,holdout_cloth_move,0.0,0.0,0.3333333333333333,202,self_forcing_finetune,True,0.0,irg,evaluated,3,cloth_move,1.0,holdout_cloth_move__irg__s202,1,[]
,['next_forcing'],0.3333333333333333,holdout_cloth_move,0.0,0.0,0.3333333333333333,303,self_forcing_finetune,True,0.0,irg,evaluated,3,cloth_move,1.0,holdout_cloth_move__irg__s303,1,[]
,[],1.0,holdout_push_sand,0.0,1.0,1.0,101,inv_dyn_reward_finetune,False,0.0,environment_label,evaluated,2,push_sand,0.0,holdout_push_sand__environment_label__s101,,[]
,[],1.0,holdout_push_sand,0.0,1.0,1.0,202,inv_dyn_reward_finetune,False,0.0,environment_label,evaluated,2,push_sand,0.0,holdout_push_sand__environment_label__s202,,[]
,[],1.0,holdout_push_sand,0.0,1.0,1.0,303,inv_dyn_reward_finetune,False,0.0,environment_label,evaluated,2,push_sand,0.0,holdout_push_sand__environment_label__s303,,[]
,[],0.5,holdout_push_sand,0.0,1.0,1.0,101,inv_dyn_reward_finetune,False,0.0,static_probe,evaluated,2,push_sand,0.0,holdout_push_sand__static_probe__s101,,[]
,[],0.5,holdout_push_sand,0.0,1.0,1.0,202,inv_dyn_reward_finetune,False,0.0,static_probe,evaluated,2,push_sand,0.0,holdout_push_sand__static_probe__s202,,[]
,[],0.5,holdout_push_sand,0.0,1.0,1.0,303,inv_dyn_reward_finetune,False,0.0,static_probe,evaluated,2,push_sand,0.0,holdout_push_sand__static_probe__s303,,[]
,[],1.0,holdout_push_sand,0.0,1.0,1.0,101,inv_dyn_reward_finetune,False,0.0,raw_response,evaluated,2,push_sand,0.0,holdout_push_sand__raw_response__s101,,[]
,[],1.0,holdout_push_sand,0.0,1.0,1.0,202,inv_dyn_reward_finetune,False,0.0,raw_response,evaluated,2,push_sand,0.0,holdout_push_sand__raw_response__s202,,[]
,[],1.0,holdout_push_sand,0.0,1.0,1.0,303,inv_dyn_reward_finetune,False,0.0,raw_response,evaluated,2,push_sand,0.0,holdout_push_sand__raw_response__s303,,[]
,[],1.0,holdout_push_sand,0.0,1.0,1.0,101,inv_dyn_reward_finetune,False,0.0,irg,evaluated,2,push_sand,0.0,holdout_push_sand__irg__s101,,[]
,[],1.0,holdout_push_sand,0.0,1.0,1.0,202,inv_dyn_reward_finetune,False,0.0,irg,evaluated,2,push_sand,0.0,holdout_push_sand__irg__s202,,[]
,[],1.0,holdout_push_sand,0.0,1.0,1.0,303,inv_dyn_reward_finetune,False,0.0,irg,evaluated,2,push_sand,0.0,holdout_push_sand__irg__s303,,[]
,['motion_region_reweight'],0.0,holdout_pour_water,0.0,1.0,-1.0,101,self_forcing_finetune,False,1.0,environment_label,evaluated,2,pour_water,0.0,holdout_pour_water__environment_label__s101,2,[]
,['motion_region_reweight'],0.0,holdout_pour_water,0.0,1.0,-1.0,202,self_forcing_finetune,False,1.0,environment_label,evaluated,2,pour_water,0.0,holdout_pour_water__environment_label__s202,2,[]
,['motion_region_reweight'],0.0,holdout_pour_water,0.0,1.0,-1.0,303,self_forcing_finetune,False,1.0,environment_label,evaluated,2,pour_water,0.0,holdout_pour_water__environment_label__s303,2,[]
,['motion_region_reweight'],0.0,holdout_pour_water,0.0,1.0,-1.0,101,self_forcing_finetune,False,1.0,static_probe,evaluated,2,pour_water,0.0,holdout_pour_water__static_probe__s101,2,[]
,['motion_region_reweight'],0.0,holdout_pour_water,0.0,1.0,-1.0,202,self_forcing_finetune,False,1.0,static_probe,evaluated,2,pour_water,0.0,holdout_pour_water__static_probe__s202,2,[]
,['motion_region_reweight'],0.0,holdout_pour_water,0.0,1.0,-1.0,303,self_forcing_finetune,False,1.0,static_probe,evaluated,2,pour_water,0.0,holdout_pour_water__static_probe__s303,2,[]
,['motion_region_reweight'],0.0,holdout_pour_water,0.0,1.0,-1.0,101,self_forcing_finetune,False,1.0,raw_response,evaluated,2,pour_water,0.0,holdout_pour_water__raw_response__s101,2,[]
,['motion_region_reweight'],0.0,holdout_pour_water,0.0,1.0,-1.0,202,self_forcing_finetune,False,1.0,raw_response,evaluated,2,pour_water,0.0,holdout_pour_water__raw_response__s202,2,[]
,['motion_region_reweight'],0.0,holdout_pour_water,0.0,1.0,-1.0,303,self_forcing_finetune,False,1.0,raw_response,evaluated,2,pour_water,0.0,holdout_pour_water__raw_response__s303,2,[]
,['motion_region_reweight'],0.5,holdout_pour_water,0.0,1.0,-1.0,101,self_forcing_finetune,False,1.0,irg,evaluated,2,pour_water,0.0,holdout_pour_water__irg__s101,2,[]
,['motion_region_reweight'],0.5,holdout_pour_water,0.0,1.0,-1.0,202,self_forcing_finetune,False,1.0,irg,evaluated,2,pour_water,0.0,holdout_pour_water__irg__s202,2,[]
,['motion_region_reweight'],0.5,holdout_pour_water,0.0,1.0,-1.0,303,self_forcing_finetune,False,1.0,irg,evaluated,2,pour_water,0.0,holdout_pour_water__irg__s303,2,[]
,[],0.5,holdout_robot_arm,0.0,0.0,1.0,101,self_forcing_finetune,True,0.0,environment_label,evaluated,2,robot_arm,1.0,holdout_robot_arm__environment_label__s101,1,[]
,[],0.5,holdout_robot_arm,0.0,0.0,1.0,202,self_forcing_finetune,True,0.0,environment_label,evaluated,2,robot_arm,1.0,holdout_robot_arm__environment_label__s202,1,[]
,[],0.5,holdout_robot_arm,0.0,0.0,1.0,303,self_forcing_finetune,True,0.0,environment_label,evaluated,2,robot_arm,1.0,holdout_robot_arm__environment_label__s303,1,[]
,[],0.5,holdout_robot_arm,0.0,0.0,1.0,101,self_forcing_finetune,True,0.0,static_probe,evaluated,2,robot_arm,1.0,holdout_robot_arm__static_probe__s101,1,[]
,[],0.5,holdout_robot_arm,0.0,0.0,1.0,202,self_forcing_finetune,True,0.0,static_probe,evaluated,2,robot_arm,1.0,holdout_robot_arm__static_probe__s202,1,[]
,[],0.5,holdout_robot_arm,0.0,0.0,1.0,303,self_forcing_finetune,True,0.0,static_probe,evaluated,2,robot_arm,1.0,holdout_robot_arm__static_probe__s303,1,[]
,[],0.5,holdout_robot_arm,0.0,0.0,1.0,101,self_forcing_finetune,True,0.0,raw_response,evaluated,2,robot_arm,1.0,holdout_robot_arm__raw_response__s101,1,[]
,[],0.5,holdout_robot_arm,0.0,0.0,1.0,202,self_forcing_finetune,True,0.0,raw_response,evaluated,2,robot_arm,1.0,holdout_robot_arm__raw_response__s202,1,[]
,[],0.5,holdout_robot_arm,0.0,0.0,1.0,303,self_forcing_finetune,True,0.0,raw_response,evaluated,2,robot_arm,1.0,holdout_robot_arm__raw_response__s303,1,[]
,[],0.5,holdout_robot_arm,0.0,0.0,1.0,101,self_forcing_finetune,True,0.0,irg,evaluated,2,robot_arm,1.0,holdout_robot_arm__irg__s101,1,[]
,[],0.5,holdout_robot_arm,0.0,0.0,1.0,202,self_forcing_finetune,True,0.0,irg,evaluated,2,robot_arm,1.0,holdout_robot_arm__irg__s202,1,[]
,[],0.5,holdout_robot_arm,0.0,0.0,1.0,303,self_forcing_finetune,True,0.0,irg,evaluated,2,robot_arm,1.0,holdout_robot_arm__irg__s303,1,[]
,[],0.5,holdout_reacher,0.0,1.0,1.0,101,self_forcing_finetune,False,0.0,environment_label,evaluated,2,reacher,0.0,holdout_reacher__environment_label__s101,,['next_forcing']
,[],0.5,holdout_reacher,0.0,1.0,1.0,202,self_forcing_finetune,False,0.0,environment_label,evaluated,2,reacher,0.0,holdout_reacher__environment_label__s202,,['next_forcing']
,[],0.5,holdout_reacher,0.0,1.0,1.0,303,self_forcing_finetune,False,0.0,environment_label,evaluated,2,reacher,0.0,holdout_reacher__environment_label__s303,,['next_forcing']
,[],0.5,holdout_reacher,0.0,1.0,1.0,101,self_forcing_finetune,False,0.0,static_probe,evaluated,2,reacher,0.0,holdout_reacher__static_probe__s101,,['next_forcing']
,[],0.5,holdout_reacher,0.0,1.0,1.0,202,self_forcing_finetune,False,0.0,static_probe,evaluated,2,reacher,0.0,holdout_reacher__static_probe__s202,,['next_forcing']
,[],0.5,holdout_reacher,0.0,1.0,1.0,303,self_forcing_finetune,False,0.0,static_probe,evaluated,2,reacher,0.0,holdout_reacher__static_probe__s303,,['next_forcing']
,[],0.5,holdout_reacher,0.0,1.0,1.0,101,self_forcing_finetune,False,0.0,raw_response,evaluated,2,reacher,0.0,holdout_reacher__raw_response__s101,,['next_forcing']
,[],0.5,holdout_reacher,0.0,1.0,1.0,202,self_forcing_finetune,False,0.0,raw_response,evaluated,2,reacher,0.0,holdout_reacher__raw_response__s202,,['next_forcing']
,[],0.5,holdout_reacher,0.0,1.0,1.0,303,self_forcing_finetune,False,0.0,raw_response,evaluated,2,reacher,0.0,holdout_reacher__raw_response__s303,,['next_forcing']
,[],0.5,holdout_reacher,0.0,1.0,1.0,101,self_forcing_finetune,False,0.0,irg,evaluated,2,reacher,0.0,holdout_reacher__irg__s101,,['next_forcing']
,[],0.5,holdout_reacher,0.0,1.0,1.0,202,self_forcing_finetune,False,0.0,irg,evaluated,2,reacher,0.0,holdout_reacher__irg__s202,,['next_forcing']
,[],0.5,holdout_reacher,0.0,1.0,1.0,303,self_forcing_finetune,False,0.0,irg,evaluated,2,reacher,0.0,holdout_reacher__irg__s303,,['next_forcing']
